"","Date","Type","Title","Description","Source","News_Category","News_Article","Cyber_Target","Cyber_Target_Category","Cyber_Objective","Cyber_Source_2","Cyber_Source_3"
"1","2020-02-28","NEWS","Chinese navy accused of using laser on US military aircraft","Chinese militaryChinese navy accused of using laser on US military aircraftIncident is the first use of such weapons by a PLA vessel, says Washington							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/40200be8-59f7-11ea-a528-dd0f971febbc","Chinese military",NA,NA,NA,NA,NA,NA
"2","2019-12-20","NEWS","Japan to raise military spending to new record","Japan to raise military spending to new recordInvestment in air defence to counter perceived threat from China and North Korea							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/9e897000-22ef-11ea-b8a1-584213ee7b2b","",NA,NA,NA,NA,NA,NA
"526","2019-12-12","CYBER INCIDENT","Targeting of telecom companies across Africa, Europe, and Southeast Asia - Gallium","Gallium, an allegedly China-aligned threat actor, attacked telecom companies across the globe for several months.","https://www.microsoft.com/security/blog/2019/12/12/gallium-targeting-global-telecom/",NA,NA,"Telecom companies in Africa, Europe, and Southeast Asia","Private sector","Espionage","https://www.microsoft.com/security/blog/2019/12/12/gallium-targeting-global-telecom/","https://www.microsoft.com/security/blog/2019/12/12/gallium-targeting-global-telecom/"
"519","2019-12-07","CYBER INCIDENT","Targeting of the Cambodian government - Rancor","The China-linked threat actor group Rancor targeted unnamed Cambodian government entities.","https://www.cyberscoop.com/rancor-group-cambodia-palo-alto-networks/",NA,NA,"Cambodian government","Government","Espionage","https://www.cyberscoop.com/rancor-group-cambodia-palo-alto-networks/","https://www.cyberscoop.com/rancor-group-cambodia-palo-alto-networks/"
"524","2019-11-29","CYBER INCIDENT","Attack of  Japanese companies with links to China - Bronze Butler","China-linked espionage group Bronze Butler targeted companies with head offices in Japan and subsidiaries in China to try to steal highly classified information.","https://blog.trendmicro.com/trendlabs-security-intelligence/operation-endtrade-finding-multi-stage-backdoors-that-tick/",NA,NA,"Japanese organizations with subsidiaries in China","Private sector","Espionage","https://blog.trendmicro.com/trendlabs-security-intelligence/operation-endtrade-finding-multi-stage-backdoors-that-tick/","https://blog.trendmicro.com/trendlabs-security-intelligence/operation-endtrade-finding-multi-stage-backdoors-that-tick/"
"3","2019-11-01","NEWS","Japan sounds warning on China’s growing military might","InterviewJapanese politics & policyJapan sounds warning on China’s growing military mightDefence minister Taro Kono says new missile systems have added to ‘global anxiety’							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/eb5191ee-fbbf-11e9-a354-36acbbb0d9b6","InterviewJapanese politics & policy",NA,NA,NA,NA,NA,NA
"520","2019-10-03","CYBER INCIDENT","PKplug - China","A Chinese-linked threat actor group active in Southeast Asia","https://unit42.paloaltonetworks.com/pkplug_chinese_cyber_espionage_group_attacking_asia/",NA,NA,"","","","https://unit42.paloaltonetworks.com/pkplug_chinese_cyber_espionage_group_attacking_asia/","https://unit42.paloaltonetworks.com/pkplug_chinese_cyber_espionage_group_attacking_asia/"
"523","2019-10-03","CYBER INCIDENT","Attacks in East and Southeast Asia - PKplug","Chinese government threat actor PKplug targeted organizations in East and Southeast Asia.","https://unit42.paloaltonetworks.com/pkplug_chinese_cyber_espionage_group_attacking_asia/",NA,NA,"","","Espionage","https://unit42.paloaltonetworks.com/pkplug_chinese_cyber_espionage_group_attacking_asia/","https://unit42.paloaltonetworks.com/pkplug_chinese_cyber_espionage_group_attacking_asia/"
"518","2019-10-02","CYBER INCIDENT","Targeting of Japanese organizations - APT 17 and Bronze Butler","Two Chinese government threat actors used a number of zero-day vulnerabilities in common Japanese software to target Japanese organizations over the course of several years.","https://threatpost.com/virus-bulletin-japanese-attacks-apt-strategygy/148859/",NA,NA,"Japanese organizations","Private sector","Espionage","https://threatpost.com/virus-bulletin-japanese-attacks-apt-strategygy/148859/","https://threatpost.com/virus-bulletin-japanese-attacks-apt-strategygy/148859/"
"4","2019-10-01","NEWS","North Korea fires two missiles, one lands in Japan’s EEZ","North KoreaNorth Korea fires two missiles, one lands in Japan’s EEZ							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/bf0022d8-e4a2-11e9-9743-db5a370481bc","North Korea",NA,NA,NA,NA,NA,NA
"5","2019-09-25","NEWS","China launches naval assault vessel","Chinese militaryChina launches naval assault vesselAmphibious ship boosts Beijing’s capabilities of mobilising Taiwan invasion force							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/3a3db746-df88-11e9-9743-db5a370481bc","Chinese military",NA,NA,NA,NA,NA,NA
"517","2019-09-05","CYBER INCIDENT","Targeting of telecommunications operators in countries through which Uighurs are known to travel - Believed to be the work of Chinese state-sponsored hackers.","Multiple threat actors compromised telecoms networks across Central and Southeast Asia. The attacks were part of a wider cyber-espionage campaign targeting diplomats and state officials, and they signal China's ability and intent to track the movements of Uighurs along a number of transit routes that they use to escape state persecution.","https://www.reuters.com/article/us-china-cyber-uighurs/china-hacked-asian-telcos-to-spy-on-uighur-travelers-sources-idUSKCN1VQ1A5",NA,NA,"","Civil society","Espionage","https://www.reuters.com/article/us-china-cyber-uighurs/china-hacked-asian-telcos-to-spy-on-uighur-travelers-sources-idUSKCN1VQ1A5","https://www.reuters.com/article/us-china-cyber-uighurs/china-hacked-asian-telcos-to-spy-on-uighur-travelers-sources-idUSKCN1VQ1A5"
"6","2019-08-23","NEWS","US accuses China of ‘coercion’ over Vietnam offshore oil","US accuses China of ‘coercion’ over Vietnam offshore oilState department says Beijing’s ship deployments are intimidating other countries							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/b26ac618-c553-11e9-a8e9-296ca66511c9","",NA,NA,NA,NA,NA,NA
"521","2019-08-07","CYBER INCIDENT","APT 41","This threat actor has, since 2014, conducted operations backed by the Chinese government, including targeting the health-care and high-tech sectors and conducting espionage against political dissidents. It has simultaneously conducted its own for-profit illicit activity in the video games industry, amassing millions of dollars in digital currency to be sold to gamers on the black market. The threat actor operates outside of state control but is linked to other Chinese APT malware actors and tools on a part-time or contractual basis, or is a full-time, state-sponsored APT actor that simultaneously conducts nonstate campaigns for supplemental income. This threat actor is a notable example of the blurring lines between state-sponsored and commercial cyber criminals.","https://content.fireeye.com/apt-41/rpt-apt41/",NA,NA,"United States, France, Japan, Singapore, United Kingdom, Hong Kong","Government, Private sector","Espionage","https://content.fireeye.com/apt-41/rpt-apt41/","https://content.fireeye.com/apt-41/rpt-apt41/"
"7","2019-07-23","NEWS","S Korea jets fire shots at Russian military aircraft ","South KoreaS Korea jets fire shots at Russian military aircraft Aerial engagement follows first joint Sino-Russian long-range air patrol in Asia							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/0c1e8550-acf4-11e9-8030-530adfa879c2","South Korea",NA,NA,NA,NA,NA,NA
"8","2019-07-17","NEWS","Chinese and Vietnamese ships in South China Sea stand-off","Chinese and Vietnamese ships in South China Sea stand-offMaritime analysts warn of escalation into dangerous confrontation in disputed waters							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/cb7f117c-a834-11e9-984c-fac8325aaa04","",NA,NA,NA,NA,NA,NA
"9","2019-06-21","NEWS","Hong Kong denies entry to ex-Philippine envoy and China critic","PhilippinesHong Kong denies entry to ex-Philippine envoy and China criticAlbert del Rosario had accused Xi Jinping of crimes against humanity							
																	
																	
																				Save
																		
																	
									","https://www.ft.com/content/ed28c734-93f6-11e9-aea1-2b1d33ac3271","Philippines",NA,NA,NA,NA,NA,NA
